comment,comment_length,word_count,bert_sentiment
🥰,1,1,positive
😁,1,1,positive
😁,1,1,positive
😂,1,1,neutral
Saavedra,15,1,neutral
🥰,1,1,positive
🥰,1,1,positive
😭,1,1,neutral
🥰,1,1,positive
😁,1,1,positive
😁,1,1,positive
tienes para mujer?,19,3,neutral
hola..es dulce o cítrico?,25,4,neutral
😈,1,1,neutral
🥰🥰🥰,3,1,positive
🥰,1,1,positive
😁😁😁,3,1,positive
😅,1,1,positive
💀💀💀,3,1,negative
🥰,1,1,positive
🤣,1,1,neutral
Muy rico perfumen,17,3,neutral
😁,1,1,positive
😔,1,1,negative
🥰,1,1,positive
🗿,1,1,neutral
😍,1,1,positive
:INDIA DISRESPECT BUTTON ❤️🇮🇳 👇,39,5,positive
es original???,14,2,neutral
🥰,1,1,positive
🥰,1,1,positive
perfume,7,1,neutral
🥰🥰🥰,3,1,positive
Hasta dolor de estómago y dolor de cabeza me pegó ese Perfume 🤮🤮🤢🤢🤢,67,13,negative
Perfume,7,1,neutral
Precioo,7,1,neutral
precio?,7,1,neutral
🌹,1,1,neutral
perfume,7,1,neutral
👏,1,1,neutral
Estoy buscando tiendas donde vendan buenos perfumes y pueda probar antes de comprar. 🥺,86,14,neutral
lo acabo de comprar y literal huele a miel,42,9,neutral
😂,1,1,neutral
Precio bro?,11,2,neutral
Info?,5,1,neutral
Pega fuerte como Dialis?,24,4,neutral
Para que clima se recomienda?,30,5,neutral
😁,1,1,positive
😍😍😍,3,1,positive
"buenas, si pido ahorita un decant cuando llegaría? Lima. gracias de antemano",77,12,neutral
precio del frasquito?,21,3,neutral
😁,1,1,positive
😂,1,1,neutral
No falla con una presentacion espectacular.🥰,44,6,positive
🥰,1,1,positive
perfume,7,1,neutral
perfume,7,1,neutral
😁,1,1,positive
"gente, que opinión tienen de los perfumes de Hugo BOSS?",55,10,neutral
😏,1,1,neutral
🥰,1,1,positive
😁,1,1,positive
yo le regalé uno Ami esposo y veo que asta mi hija selo.ella😂,61,13,neutral
😂,1,1,neutral
😁,1,1,positive
😂,1,1,neutral
precio,6,1,neutral
precio,6,1,neutral
Número,6,1,neutral
soy el unico que cree que es muy feminino??,43,9,neutral
perfume,7,1,neutral
💙,1,1,positive
Perfume,7,1,neutral
dónde lo venden,15,3,neutral
Precio,6,1,neutral
precio,6,1,neutral
perfume,7,1,neutral
yo tengo uno de esos es buenazo perome costo 280 soles,54,11,neutral
donde habla,11,2,neutral
"Un perfume tiene q ser exclusivo,,,, pero este aroma se huele en todo lado no pasa naa NeXT",92,18,neutral
precio,6,1,neutral
precio,6,1,neutral
precio,6,1,neutral
"es mixto,verdad?, por qué creo que ví uno para mujer así",59,11,neutral
precio,6,1,neutral
Precio,6,1,neutral
"no lo compren si son de peru, en estos momentos de verano es muy ostigante",74,15,neutral
perfume,7,1,neutral
Perfume jejeje,14,2,neutral
perfumazo,9,1,neutral
perfume,7,1,neutral
Pero es el Khamrah Qahwa tradicional unisex no el otro de tapa negra...,72,13,neutral
Es para dama o varón???,23,5,neutral
Precio,6,1,neutral
🥺,1,1,neutral
perfume,7,1,neutral
De cuántos riñones estamos hablando?,36,5,neutral
Es unisex?,10,2,neutral
po la web,9,3,neutral
precio,6,1,neutral
Flavia que bajo caíste al darle una entrevista a ese man,56,11,neutral
Demasiado dulce que lo hace simple a mi parecer,47,9,neutral
precio,6,1,neutral
perfume,7,1,neutral
Y cuánto está ese chiste,24,5,neutral
Perfume,7,1,neutral
perfume,7,1,neutral
precio,6,1,neutral
yo los preparo....buenisimo,28,3,neutral
sublime,7,1,positive
Perfume,7,1,neutral
Mancha la ropa?,15,3,neutral
😁😁😁,3,1,positive
Ya a las mujeres ni les interesa si un pata tiene denuncias x agr3s1.. On. Advertidas están 🤷,93,18,neutral
con mi colonia de Goku estoy feliz 😎,36,8,positive
Perfume,7,1,neutral
Precio,6,1,neutral
precio del decant?,19,3,neutral
Información,11,1,neutral
😁,1,1,positive
Precio,6,1,neutral
Perfume.,8,1,neutral
mejor es la Kawa,16,4,neutral
Precio,6,1,neutral
perfume,7,1,neutral
precio,6,1,neutral
precio,6,1,neutral
precio,6,1,neutral
perfume,7,1,neutral
ahora medio pueblo huele a lo mismo.😁,37,7,positive
😂😂😂,3,1,neutral
Info,4,1,neutral
perfume,7,1,neutral
info,4,1,neutral
Pasa nada,9,2,neutral
imperius?,9,1,neutral
es agua e manzana xd,20,5,neutral
18euros esta esa canela. Es el Avon de europa,45,9,neutral
Perfume,7,1,neutral
precio,6,1,neutral
Si se promociona de esta manera ya sabemos la calidad jaja,58,11,neutral
Perfume,7,1,neutral
"Oe que le fue a laos, se hizo el mewing o que?",46,12,neutral
precio,6,1,neutral
Precio,6,1,neutral
Precio,6,1,neutral
😄😄😄,3,1,neutral
Donde lo venden,15,3,neutral
precio,6,1,neutral
información,11,1,neutral
Precio?,7,1,neutral
Mejor es SALVAJE ESTÁ 28 SOLES EN LA PARADA,43,9,neutral
es solo para hombre verdad?,27,5,neutral
quierooooo🥰,11,1,positive
Perfume,7,1,neutral
precio,6,1,neutral
LA GENTE PIENSA FLAVIA LLEGA DE CASUALIDAD Y DICE QUE RICO HUELE Y GRATIS EN UN STREAMING QUE LO VEN MILES DE PERSONAS 🤣🤣🤣🤣 DE ESO VIVEN ESAS PERSONAS HACIENDO PUBLICIDAD A LAS MARCAS,183,34,neutral
perfume,7,1,neutral
Perfumes,8,1,neutral
perfume,7,1,neutral
Donde lo compro,15,3,neutral
precio,6,1,neutral
precio?,7,1,neutral
pensé que diría que es una flatulencias 😅😅,42,8,neutral
y cuál es su precio en soles,28,7,neutral
Huele a perfume barato y no dura nada! Por 30 pavos encuentras mejores!,71,13,neutral
lo recomiendan?,16,2,neutral
💛👨🏻‍🦳,12,1,positive
"Es muy bueno, pero no dura tanto",32,7,neutral
acen delivery,13,2,neutral
aquí en la esquina de mi casa vale 34€,38,9,neutral
barato,6,1,neutral
Perfume,7,1,neutral
precio,6,1,neutral
"como puedo saber si es original oh bamba?? quiero regalarle a mi enamorado, pero no quiero que me estafen😭😭 xD",110,20,neutral
cuesta 35€ o 30€ no recuerdo bien lo venden el la tienda NorMarket en tienda de Torredembarra y hay muchas colonias árabes que huelen bien rico,143,26,neutral
perfume 💯,9,2,neutral
yo compre una docena cualquier cosa lo vendo en la av abancay antes del puente,78,15,neutral
preciooo,8,1,neutral
Perfume,7,1,neutral
precio,6,1,neutral
precio sano,11,2,neutral
perfume,7,1,neutral
precio?,7,1,neutral
información,11,1,neutral
🙏🙏🙏,3,1,positive
perfume. precio,15,2,neutral
es unisex no?🤔,14,3,neutral
Pago 20 soles,13,3,neutral
la verdadera hija de Susy Díaz? está más inyectada que deportista ruso,70,12,neutral
precio,6,1,neutral
perfume,7,1,neutral
perfume,7,1,neutral
perfume,7,1,neutral
perfume,7,1,neutral
precio,6,1,neutral
perfume,7,1,neutral
😂😂😂,3,1,neutral
Precio,6,1,neutral
y el precio,11,3,neutral
precio,6,1,neutral
"el precio, poco floro!",22,4,neutral
amazon ha 28 dolares😅,21,4,neutral
perfume,7,1,neutral
precio???,9,1,neutral
info,4,1,neutral
todas las laicas saben el olor a la gampi.,42,9,neutral
si quieres precio imbox,23,4,neutral
9927 88605 Info,15,3,neutral
Maquin Rivas,18,2,neutral
Son de lima?,12,3,neutral
Precio,6,1,neutral
precio,6,1,neutral
perfume,7,1,neutral
Perfume,7,1,neutral
precio del perfume,18,3,neutral
perfume,7,1,neutral
me han hecho cumplidos.en citas por.perfumes de 40.soles,56,8,neutral
información,11,1,neutral
precio?,7,1,neutral
perfume precio,14,2,neutral
"Cuando no, los aprovechados",27,4,neutral
ese no es él que tiene una denuncia por agresión a una mujer?,61,13,neutral
vale vi muchos videos y si era micio cual era el desenlace???? la mejor y una de las cuantas es la dignidad..q fue mano??..😁😁😁,126,24,neutral
precio,6,1,neutral
precio,6,1,neutral
Perfumeee,9,1,neutral
cómo hago para adquirir uno,27,5,neutral
si la tapa,10,3,neutral
Precio,6,1,neutral
Precio,6,1,neutral
Precio,6,1,neutral
Es el que uso imperius? 🤔,26,6,neutral
Precio,6,1,neutral
perfume,7,1,neutral
perfume,7,1,neutral
perfume,7,1,neutral
precio mano,11,2,neutral
dale 100 diga dame 1000,23,5,neutral
precio,6,1,neutral
precio,6,1,neutral
Que le paso a flavia??😨😨😨😨,26,5,negative
perfume,7,1,neutral
precio???,10,1,neutral
ese perfume lo uso como ambientador de mi bano 😏😏 no es tan bueno,65,14,neutral
perfume,7,1,neutral
dond,4,1,neutral
👍🏻,2,1,positive
Guardaré este video para cuando tenga novio,43,7,neutral
ese perfumen les gusta a las niñas por que crees que lo dice ella,65,14,neutral
"diealis tiene aire acondicionado? porque es rico, pero en el calor es heavy.",76,13,neutral
precio,6,1,neutral
🤣,1,1,neutral
Yo lo traigo a 250 soles,24,6,neutral
😅😅 este perfumes de canela vainilla bende España jajajaja es un barato 😅,72,13,neutral
mano,4,1,neutral
Precio perfume,14,2,neutral
Nunca me gustó la madera,24,5,neutral
Quiero info,11,2,neutral
perfume,7,1,neutral
perfume,7,1,neutral
BRUTAL!,7,1,neutral
Precio,6,1,neutral
precio de una,13,3,neutral
Perfume,7,1,neutral
precio?,7,1,neutral
Precio,6,1,neutral
precio,6,1,neutral
precio,6,1,neutral
precio?,7,1,neutral
perfume,7,1,neutral
Precio?,8,1,neutral
perfume,7,1,neutral
Interesado,10,1,neutral
a cuento..?? y porque tan caro xd,33,7,neutral
Precio 🗿,8,2,neutral
"precio pa, no quiero saber tu vida",34,7,neutral
en la cachina lo vi jajaja😆,27,6,neutral
perfume,7,1,neutral
precio?,7,1,neutral
precios,7,1,neutral
donde queda su local,20,4,neutral
yo me echo una llanta y todas caen rendidas,43,9,neutral
Precio?,7,1,neutral
Precio e informacion,20,3,neutral
😳😳😳,3,1,neutral
Precio,6,1,neutral
😂,1,1,neutral
Perfume,7,1,neutral
precio,6,1,neutral
Rosmery Santiago,25,2,neutral
Perfume,7,1,neutral
Precio,6,1,neutral
Perfume,7,1,neutral
Precio,6,1,neutral
ya la detono,12,3,neutral
Les creía si hubiese salido otra chica 🤣,40,8,neutral
precio,6,1,neutral
"Chala, ya no lo siguen quemando uu",34,7,neutral
quería comprarlo pero no dejaron precio,39,6,neutral
perfume,7,1,neutral
"Costo es 100 soles, pero con los gastos y costos los venden en 600..",69,14,neutral
hola precio bro,15,3,neutral
precio,6,1,neutral
muy malo ese perfume yo lo use.. 😔,34,8,negative
costo?,6,1,neutral
precio?,7,1,neutral
Precio,6,1,neutral
precio?,7,1,neutral
precio???,9,1,neutral
de cuántos soles hablamos si no pasa de 400 normal,50,10,neutral
info,4,1,neutral
perfume,7,1,neutral
info. precio y si hay en Tacna,30,7,neutral
es Susi días 😁,14,4,positive
precio dónde es,15,3,neutral
precio,6,1,neutral
Precio?,7,1,neutral
"Esa es mas para mujer, hay otra version con cafe que es ma's masculine, Lattafa es muy comun nada exclusivo en EU",113,22,neutral
perfume,7,1,neutral
Perfume,7,1,neutral
Precio,6,1,neutral
"lo tengo, hay perfumes más ricos",32,6,neutral
perfume,7,1,neutral
info...,7,1,neutral
🤣🤣🤣 no caigan gente,19,4,neutral
ubicación?,10,1,neutral
cómo si nada se deja meter la mano,34,8,neutral
precio.haces enbios...info por interno,40,4,neutral
precio?,7,1,neutral
precio plizz,12,2,neutral
Y hay también para damas?,25,5,neutral
perfume,7,1,neutral
Perfume,7,1,neutral
A mi no me gusta para nada! Es fuertisimo y me marea :a,55,13,neutral
precio??,8,1,neutral
Lo compraría hasta que vi a un pégalon y me desanime,52,11,neutral
precio??,8,1,neutral
perfume,7,1,neutral
"Lo tenemos desde S/76.90 con uno gratis, escríbenos 🤙🏻",54,9,neutral
precio,6,1,neutral
❤️,2,1,positive
😢y mi natura...,16,3,negative
precio?,7,1,neutral
eso si o si jalas flacas 100% recomendado y mucho mejor si estas en disco las flacas no dejan d mirarte,103,21,neutral
Perfume,7,1,neutral
