user,user_id,text,like,reply_count,timestamp,fecha_legible,tipo_de_item,emocion,comment_length,time
paullpaull_,paullpaull_,Nutribella es INCREIBLEEE,17,0,1711408651,2024-03-25 18:17:31,belleza-y-cuidado,satisfaccion,25,2024-03-25 18:17:31
BRIT🎀,n.miaguix.24,usenlo porque mi cabello se mantenia muy enrredado y ahora es hermoso lo recomiendo muchooo,13,0,1730511629,2024-11-01 20:40:29,belleza-y-cuidado,satisfaccion,91,2024-11-01 20:40:29
Caro  Cruz,carolinacruz437,solo habla de lo malo y nuca deja lo que ella usa por Dio😌,9,3,1633902693,2021-10-10 16:51:33,belleza-y-cuidado,decepcion,58,2021-10-10 16:51:33
Lecksly,lecksly,Para el cabello crespo que recomiendas,1,3,1633892070,2021-10-10 13:54:30,belleza-y-cuidado,consulta,38,2021-10-10 13:54:30
Dori😊,3c.mi,todo depende del cabello.,2,2,1633889199,2021-10-10 13:06:39,belleza-y-cuidado,queja,25,2021-10-10 13:06:39
Carmen Cubides Navar,carmen09875,a mi me funciona super!!,76,3,1633904305,2021-10-10 17:18:25,belleza-y-cuidado,satisfaccion,24,2021-10-10 17:18:25
Karolina Vinueza,dianakarolinavinueza,y yo pensé en comprar para ponerme en el cabello....🙄🙄🙄🤦🏻,3,2,1633888276,2021-10-10 12:51:16,belleza-y-cuidado,frustracion,57,2021-10-10 12:51:16
Paola Aponte,paolaaponte31,"si es informativo no deberías d denigrar el producto... no todos los cuerpos funcionan igual, a mí me funciona d maravilla y eso q yo uso plancha diar",174,4,1633901875,2021-10-10 16:37:55,belleza-y-cuidado,frustracion,150,2021-10-10 16:37:55
Emanuel -Alan ☄️,ofe956,Hola que tal los productos de kaba,1,2,1633890925,2021-10-10 13:35:25,belleza-y-cuidado,consulta,34,2021-10-10 13:35:25
Yinna Vannessa,yinnavannessa,A mi para lo único para lo que me sirve es para bajar el frizz 👀,3,2,1633891373,2021-10-10 13:42:53,belleza-y-cuidado,decepcion,64,2021-10-10 13:42:53
👸🏾🥥🤍,sofii0254,Yo uso nutribela y la verdad ami si me funciona 😌🤗 y puede pasar 3 dias o una semana porque me lavo el cabello todos los sabados y n se me ve feo...,2,1,1634146193,2021-10-13 12:29:53,belleza-y-cuidado,satisfaccion,148,2021-10-13 12:29:53
ALI VEGA🌷,alipau04,"Por más video ""informativo"", veo muchos testimonios positivos, a mi me va de maravilla lo uso dos años 🥰",32,0,1634093589,2021-10-12 21:53:09,belleza-y-cuidado,satisfaccion,104,2021-10-12 21:53:09
Natalia Astros,nataliaastros,"realmente este video es mentira, ya que yo tengo el cabello hasta decolorado y me crece y siempre está suave y brillante",50,2,1633902447,2021-10-10 16:47:27,belleza-y-cuidado,satisfaccion,120,2021-10-10 16:47:27
beatrizarrita,beatrizarrita,Es súper buena alo mejor no te funciono a ti a mi en lo particular me encanta y la recomiendo 😌😌😌😌😌,120,1,1633907194,2021-10-10 18:06:34,belleza-y-cuidado,satisfaccion,99,2021-10-10 18:06:34
nani,bubblesforhosu,"el problema no es usarlo, solo no hay que abusar de él, no hay que aplicarlo tan seguido como ellos dicen, una vez cada dos semanas está bien +",1,1,1635397102,2021-10-27 23:58:22,belleza-y-cuidado,queja,143,2021-10-27 23:58:22
Bell Conde,bellconde,súper amooo cuando das está info estoy en proceso de recuperar mi cabello no uso tu método pero me ah ayudado muchísimo toda la info Dios te bendiga🥰,12,2,1633905783,2021-10-10 17:43:03,belleza-y-cuidado,satisfaccion,149,2021-10-10 17:43:03
Mart Mor,martmoreno07,Muy buenas experiencias pero y yo?? Porque me estoy quedando calva 😭,1,0,1743995862,2025-04-06 22:17:42,belleza-y-cuidado,consulta,68,2025-04-06 22:17:42
Danielita22,danielita22_,yo lo uso hace 2años y a mi no se me maltrato Haci mi pelo como tú dices,3,1,1633900324,2021-10-10 16:12:04,belleza-y-cuidado,testimonio,72,2021-10-10 16:12:04
🐰🐽Yvonne🐽🐰,yvonnebom,"Jajaja hablas que lean y que solo informas , pero recomiendas productos que tambien contaminan 😬 osea",3,1,1633901735,2021-10-10 16:35:35,belleza-y-cuidado,consulta,101,2021-10-10 16:35:35
🐰🐽Yvonne🐽🐰,yvonnebom,"Jajaja hablas que lean y que solo informas , pero recomiendas productos que tambien contaminan 😬 osea",3,1,1633901735,2021-10-10 16:35:35,belleza-y-cuidado,consulta,101,2021-10-10 16:35:35
Mart Mor,martmoreno07,Muy buenas experiencias pero y yo?? Porque me estoy quedando calva 😭,1,0,1743995862,2025-04-06 22:17:42,belleza-y-cuidado,confusion,68,2025-04-06 22:17:42
Danielita22,danielita22_,yo lo uso hace 2años y a mi no se me maltrato Haci mi pelo como tú dices,3,1,1633900324,2021-10-10 16:12:04,belleza-y-cuidado,testimonio,72,2021-10-10 16:12:04
.,greisynazareth,recomiendas savital? tanto el shampoo como acondicionador?,0,1,1639414450,2021-12-13 11:54:10,belleza-y-cuidado,consulta,58,2021-12-13 11:54:10
Jennifer Braghirolli,jen.braghirolli,Que shampoo del super puedo usar si tengo keratina?,1,1,1633892138,2021-10-10 13:55:38,belleza-y-cuidado,consulta,51,2021-10-10 13:55:38
Lucy Garcia🖤,lucygarcia2118,Yo amo este producto ! La verdad me hace creer el cabello !! De echo me salió mi cabello de antes churon!!,61,0,1634184010,2021-10-13 23:00:10,belleza-y-cuidado,sorpresa,106,2021-10-13 23:00:10
Dani Belu Belén Ramí,belu.u0,Todos los cabellos son distintos ...yo lo uso ya 2 años y buenisimo.. Lo amo ✨,1,0,1740071062,2025-02-20 12:04:22,belleza-y-cuidado,satisfaccion,78,2025-02-20 12:04:22
Angie Gallego,lore.291,solo dicen lo malo y nunca lo bueno o un producto que si funcione,1,1,1633903556,2021-10-10 17:05:56,belleza-y-cuidado,satisfaccion,65,2021-10-10 17:05:56
A💘,ana_marrrr1,"Hola podrías hacer un video de shampos de supermercado que si sean buenos,gracias 🥰",3,1,1634129700,2021-10-13 07:55:00,belleza-y-cuidado,consulta,83,2021-10-13 07:55:00
MAJO,majose9,Cuándo puedes recomendar los acondicionadores que no le hacen daño a tu cabello?,3,1,1633920796,2021-10-10 21:53:16,belleza-y-cuidado,consulta,80,2021-10-10 21:53:16
Tatiana Jeri Martiar,tatianapjm,"A mí si me funcionó, súper bien, hoy por hoy lo cambié a aceites naturales por la regla de no utilizar un producto químico por más de un mes 🥰",2,1,1633899507,2021-10-10 15:58:27,belleza-y-cuidado,testimonio,142,2021-10-10 15:58:27
Dani✨,daniiiuska,"yo lo estuve usando un tiempo y el cabello se me resecó muchísimo, el primer día lo deja bellísimo es cierto, pero ya luego no y cada vez que +",1,1,1634065329,2021-10-12 14:02:09,belleza-y-cuidado,decepcion,143,2021-10-12 14:02:09
Maira Alejandra,tramitesmigratoriosmp,a mí no me pasa eso,4,1,1633895716,2021-10-10 14:55:16,belleza-y-cuidado,sorpresa,19,2021-10-10 14:55:16
Soy La Daniela,soyladanielaaa,La nutribela es lo mejor,13,0,1639415776,2021-12-13 12:16:16,belleza-y-cuidado,testimonio,24,2021-12-13 12:16:16
Paula Santander,user11488138,seguro quiere vender algún producto de ella y esta en su derecho siempre y cuando no hable mal de la competencia eso habla mucho de una persona,2,1,1633902014,2021-10-10 16:40:14,belleza-y-cuidado,satisfaccion,143,2021-10-10 16:40:14
user254744,daniella4900,Ami si me paso se me caía a montones y todo mi cabello reventado!! Ahora uso garnier 😌,1,1,1633899978,2021-10-10 16:06:18,belleza-y-cuidado,sorpresa,86,2021-10-10 16:06:18
hdkfifbrbnb,judbflfbdjsa2,Llevo 4 años usando nutribela 🤦‍♀️,3,1,1633904973,2021-10-10 17:29:33,belleza-y-cuidado,testimonio,34,2021-10-10 17:29:33
Nay-565,natthy689l,es que la nutribella se usa una vez por semana no todos los dias,18,0,1700674700,2023-11-22 12:38:20,belleza-y-cuidado,testimonio,64,2023-11-22 12:38:20
❤❤ 🥰 ❤Yolanda ❤☺️ ❤❤❤,yolandawtwe5fgwwww,yo usaba la Nutribela se aplica en el cabello seco pero no,1,0,1734210977,2024-12-14 16:16:17,belleza-y-cuidado,testimonio,58,2024-12-14 16:16:17
Dime Karen,karenrodriguez234,Creo que es lo mejor del mundo 😬 a mi me funciona muchísimo !!!!!,9,0,1639454938,2021-12-13 23:08:58,belleza-y-cuidado,testimonio,65,2021-12-13 23:08:58
Gabiita Martínez,gabiitamartinez1,A mi casi me deja calva 😭😭😭 se me cayó full el cabello,1,2,1726205292,2024-09-13 00:28:12,belleza-y-cuidado,frustracion,54,2024-09-13 00:28:12
✨🩷kim✨🩷,kimberlymera24,soy maestra de la rama de la belleza y tu cabello no está muy sano tienes frizz y la nutribela es muy buena ahí personas que no les asienta pero esx +,4,0,1634250975,2021-10-14 17:36:15,belleza-y-cuidado,satisfaccion,150,2021-10-14 17:36:15
Andrea Ospina Martin,andreaospinamarti,"Lo lamento por ti , pero para mi cabello ha sido una bendición NUTRIBELA , la mascarilla es lo máximo lo llevo usando más de 5 años , ahora estoy usando el shampoo y ha sido lo máximo",0,0,1746111947,2025-05-01 10:05:47,belleza-y-cuidado,frustracion,183,2025-05-01 10:05:47
kataleya,kataleya1265,y porque hace el vídeo sin dar la cara?,0,0,1746286116,2025-05-03 10:28:36,belleza-y-cuidado,frustracion,39,2025-05-03 10:28:36
Maite Sarahi Mondragon,maitesarahimondra,La verdad yo gasté bastante en productos y ninguno me funcionaba :( me dejaba feo el pelo y se me caía pero con este por emergencia lo compré y lo amo 💜 mi pelo ya de risa natural y se ve hermoso,2,0,1722632783,2024-08-02 16:06:23,belleza-y-cuidado,frustracion,195,2024-08-02 16:06:23
BLANQUITA,shirley.gallegos,yo los uso hace 3 meses y realmente lo amoooo me mejoro muchísimo el cabello,1,0,1728698818,2024-10-11 21:06:58,belleza-y-cuidado,satisfaccion,76,2024-10-11 21:06:58
AYLEN,aylenkaren5,A mí me encanta ❤️❤️,1,0,1717090411,2024-05-30 12:33:31,belleza-y-cuidado,satisfaccion,20,2024-05-30 12:33:31
summer,vera30_19,"Después que me decoloré el cabello me quedó horrible, estaba chicloso no podía ni peinarme, hasta que usé pantene mascarilla intensiva🥰🥰",3,0,1635128178,2021-10-24 21:16:18,belleza-y-cuidado,testimonio,136,2021-10-24 21:16:18
Melina Salinas 👩‍💻,_melinasalinas_,"yo lo uso y no me paso eso, todo lo contrario! mi cabello mejoro mucho",2,0,1716207807,2024-05-20 07:23:27,belleza-y-cuidado,satisfaccion,70,2024-05-20 07:23:27
Feli,felifer_,amiga gracias por informarnos🥰 yo lo llevo usando 1 año y medio y más el tinte que uso debería tenerlo dañado pero creeme que no 😳,4,0,1633929206,2021-10-11 00:13:26,belleza-y-cuidado,satisfaccion,130,2021-10-11 00:13:26
Mapu ᥫ᭡.,mapu.ff,"Yo tenia el cabello muy dañado y ningún tratamiento me dejaba el cabello lindo, así que comencé a usar el termoprotección y a veces el repolizador y me va muy bien! lo recomiendo ☺️",1,0,1722809739,2024-08-04 17:15:39,belleza-y-cuidado,satisfaccion,181,2024-08-04 17:15:39
joalew,joalew,siempre existe persona envidiosas son excelentes productos,1,0,1724531485,2024-08-24 15:31:25,belleza-y-cuidado,testimonio,58,2024-08-24 15:31:25
🫶🏻,florecita_1303,Entonces cuál recomiendas?,1,0,1717464426,2024-06-03 20:27:06,belleza-y-cuidado,consulta,26,2024-06-03 20:27:06
Paomar,paomar_93,Entonces cual recomiendas???,3,0,1635823901,2021-11-01 22:31:41,belleza-y-cuidado,consulta,28,2021-11-01 22:31:41
Michelle,michelle._.ag,Puedes recomendar productos para cabellos con mucho frizz fáciles de conseguir que no produzcan caspa porfa 👀,3,0,1633917335,2021-10-10 20:55:35,belleza-y-cuidado,testimonio,109,2021-10-10 20:55:35
Kryz MM💋,kryzmaldonado24,🙄Recuerden nadie tiene el mismo cuero cabelludo... a mi me funciona bien 😊😊😊,4,0,1635104181,2021-10-24 14:36:21,belleza-y-cuidado,queja,76,2021-10-24 14:36:21
Victoria Trejo,victoriat.4,el tratamiento es lo mejor.. me funciona.. y me deja el cabello increíble..,4,0,1635128174,2021-10-24 21:16:14,belleza-y-cuidado,testimonio,75,2021-10-24 21:16:14
betylas,betylas,"buscaba info sobre el producto basada en experiencias, me pasó exactamente eso! al principio excelente , hasta que se me comenzó a caer el cabello🥺",2,0,1661146608,2022-08-22 00:36:48,belleza-y-cuidado,satisfaccion,147,2022-08-22 00:36:48
GaByta Galarza,gabytagalarza2,por favor recomiendame una mascarilla para cabello seco y maltratado pero esta natural nada de tintes,1,0,1641597241,2022-01-07 18:14:01,belleza-y-cuidado,consulta,101,2022-01-07 18:14:01
Rosa Isabell Contreras,rosairoyero2,"la verdad yo tengo desde que salió el tratamiento usándolo, y me lo ha dejado súper, ahora compré los shampoo y me ha ido como nunca",1,0,1721827939,2024-07-24 08:32:19,belleza-y-cuidado,testimonio,132,2024-07-24 08:32:19
POLY CF,polycf1,funciona de maravilla...a mi no me crecía el cabello usándolo me empezó a crecer..lo recomiendo muy bueno,1,0,1706276407,2024-01-26 08:40:07,belleza-y-cuidado,satisfaccion,105,2024-01-26 08:40:07
peerre,peerre32,yo lo uso todos los días como acondicionador y no me ha pasado nada de lo q dices,1,0,1704506398,2024-01-05 20:59:58,belleza-y-cuidado,testimonio,81,2024-01-05 20:59:58
sofia__,sofia_c.96,"Bueno peeero, necesitamos soluciones no problemas 😖",1,0,1700562404,2023-11-21 05:26:44,belleza-y-cuidado,frustracion,51,2023-11-21 05:26:44
alegarcia2043,alegarcia2043,comencé a usar la morada hace menos de un mes y traigo el cabello como chicle 😓 no pensé que fuera esa o que me baño 2 veces al día yo la compre por qué dicen que es buena,0,0,1746047957,2025-04-30 16:19:17,belleza-y-cuidado,decepcion,171,2025-04-30 16:19:17
Claus Alonso,clausalonso0,A mi hija se le puso bonito y le cresio el cabello ahora lo usaré yo,1,0,1696472394,2023-10-04 21:19:54,belleza-y-cuidado,satisfaccion,68,2023-10-04 21:19:54
Ariadna Guissell,00202s,lo use y me dejo el pelo horrible 😟,1,0,1696442395,2023-10-04 12:59:55,belleza-y-cuidado,frustracion,35,2023-10-04 12:59:55
Lupyr 🇨🇴,lubyrnt,Amiga a mi me funcionó demasiado .,0,0,1745991093,2025-04-30 00:31:33,belleza-y-cuidado,satisfaccion,34,2025-04-30 00:31:33
Katerin Avila Capcha,katerinavilacapch,nutriela es la mejor ami arregló el cabello que me habían quemado x la permanente así que estas hablando tinterias😏,2,0,1635528092,2021-10-29 12:21:32,belleza-y-cuidado,satisfaccion,115,2021-10-29 12:21:32
Karolyn Rujano,karolrams,que dices del DOVE ?,2,0,1634251918,2021-10-14 17:51:58,belleza-y-cuidado,testimonio,20,2021-10-14 17:51:58
Yasmin Pareja,yasminpareja7,todos no tenemos el mismo cuero cabelludo. yo lo he usado siempre y nunca se me ha dañado el cabello. antes lo recomiendo.,2,0,1634176298,2021-10-13 20:51:38,belleza-y-cuidado,testimonio,122,2021-10-13 20:51:38
Lujim,jossdav81,yo lo uso y es espectacular,2,0,1634073563,2021-10-12 16:19:23,belleza-y-cuidado,testimonio,27,2021-10-12 16:19:23
yus16,yusmurga,Yo uso nutribela bioqueratina y me encanta. Lo recomiendo 😅,2,0,1634009963,2021-10-11 22:39:23,belleza-y-cuidado,testimonio,59,2021-10-11 22:39:23
Manuela❤️‍🔥,manuelalondono1,A mi me ha servido muchísimo,2,0,1633965300,2021-10-11 10:15:00,belleza-y-cuidado,satisfaccion,28,2021-10-11 10:15:00
Valentina R. Trujillo,trujilloval1,"Por cuales productos o preparaciones podemos sustituirlo, que no sea tan caro 🥺",2,0,1633955374,2021-10-11 07:29:34,belleza-y-cuidado,testimonio,79,2021-10-11 07:29:34
luna 27,moon.6.7,"Confirmo🥺🥺 me dañó el cabello, claro que a todas no les funciona igual",2,0,1633921506,2021-10-10 22:05:06,belleza-y-cuidado,frustracion,70,2021-10-10 22:05:06
Yazmin Alicia Pirela Urdaneta,yazpirela,a la final !! habrá alguien lo suficientemente íntegra como para decir la verdad antes que mentir por publicidad??? siempre he tenido curiosidad!!!,0,0,1745806269,2025-04-27 21:11:09,belleza-y-cuidado,satisfaccion,147,2025-04-27 21:11:09
Hennis Augusto Sánchez Vélez,hennisaugusto,"mi hija, hermanas, primas y amigas me han hablado maravillas y lo han usado por lago tiempo, para mi hay interés particular por desacreditar la marca",1,0,1663781637,2022-09-21 12:33:57,belleza-y-cuidado,satisfaccion,149,2022-09-21 12:33:57
Karlacardons,karlacardons,Es el mejor de muchos que he usado y mi cabello crece más rapido,1,0,1661987920,2022-08-31 18:18:40,belleza-y-cuidado,satisfaccion,64,2022-08-31 18:18:40
Greymath J,greymathjg15,Yo era de la que defendía forever a nutribella 😅 vi este video la dejé de usar un tiempo y mi cabello se puso horriblemente,1,0,1661972117,2022-08-31 13:55:17,belleza-y-cuidado,testimonio,123,2022-08-31 13:55:17
Camila Anchelía 🧚🏻‍♂️🫧,melacheckin,A mi me cambio la vida tengo el cabello hermoso,1,0,1658810270,2022-07-25 23:37:50,belleza-y-cuidado,satisfaccion,47,2022-07-25 23:37:50
Camila Anchelía 🧚🏻‍♂️🫧,melacheckin,A mi me cambio la vida tengo el cabello hermoso,1,0,1658810270,2022-07-25 23:37:50,belleza-y-cuidado,satisfaccion,47,2022-07-25 23:37:50
Luna♡,falc27,a mi también me funcionó desde la 2da semana usándola mi cabello mejoró bastante 🥺,1,0,1657072415,2022-07-05 20:53:35,belleza-y-cuidado,satisfaccion,82,2022-07-05 20:53:35
Antonella,anto.jimenez04,todos dicen que la primera semana te va bien y en la segunda muy mal y hacia tirar el cabello y la verdad no a mi me va muy bien 👍,0,0,1745602023,2025-04-25 12:27:03,belleza-y-cuidado,decepcion,130,2025-04-25 12:27:03
