user,user_id,text,like,reply_count,timestamp,fecha_legible,tipo_de_item,emocion
Roxy  ❤🐢🌽🐼🦒🐍🌛,rosalindaroxy2,mentiraa es recontra mentira mi hermana lo usa dos años lo tiene bien lacio y muy bonito ahora ando usando y tambien me hizo bien🥰 y lo recomiendo 🥰,2,2,1709158779,2024-02-28 17:19:39,belleza-y-cuidado,frustracion
🦇MINNASAURIO🦇,minna0982,"suuuper no, a mi si me arregla el cabello",5,0,1744917916,2025-04-17 14:25:16,belleza-y-cuidado,satisfaccion
panndiita,panndiita,"esta chida esa mascarilla, porque es maqullaje con siliconas, siempre y cuando usen shampoo con sulfatos y ademas usen otras 2 mascarilllas no es mala",11,1,1729919761,2024-10-26 00:16:01,belleza-y-cuidado,satisfaccion
marymaki,marymaki,No volveré a comprar 🥺 recomiendas la mascarilla para cabello de Garnier?,4,1,1638151227,2021-11-28 21:00:27,belleza-y-cuidado,consulta
lizeth López,soylizeth.7,esa vaina fue lo mejor que me pude haber comprado vean esos risos😌😌 gracias nutribela🥰por tener cosas tóxicas pero buenas,49,1,1633931186,2021-10-11 00:46:26,belleza-y-cuidado,satisfaccion
Freys,freys21m,Por qué las personas le caen encima? Ella solo coloco las razones porque no la usaría y no la recomienda. El que si le vaya bien pues que la use,300,11,1633914882,2021-10-10 20:14:42,belleza-y-cuidado,confusion
Andrea,1998_jt,yo lo usé durante un año y fue lo peor que pude hacer 😢 me dejó el pelo graso y con un olor extraño que aún tengo y me ha costado mucho quitarlo,9,5,1633909263,2021-10-10 18:41:03,belleza-y-cuidado,decepcion
Danii Sandoval,danisandoval04,"Al ser un tratamiento reparador refiere que debemos utilizar 1 o 2 veces por semana máximo, es como en el skincare, no debemos sobre cargar",49,1,1633909432,2021-10-10 18:43:52,belleza-y-cuidado,testimonio
Melinamake,melinamake,Tengo como 2 años usándola y no me pasa nada de eso que dices 😅,82,6,1633902734,2021-10-10 16:52:14,belleza-y-cuidado,sorpresa
Tatiana Zabala,tatianazabala44,Yo cuándo la utilice por primera vez en papeleta el pelo se me veía Super suave y brilloso y la empecé a comprar en potes y ahora tengo el ca,8,1,1637731648,2021-11-24 00:27:28,belleza-y-cuidado,testimonio
Yaneht VP,yanehtvelasquez23,No puedes hacer eso con una marca tan solo porque a ti no te funciona bien 😑,23,2,1634006072,2021-10-11 21:34:32,belleza-y-cuidado,queja
line,ruleskat,Que mascarillas recomiendas entonces COLOMBIA?,9,8,1633891051,2021-10-10 13:37:31,belleza-y-cuidado,consulta
Melii,poscam4,Hola la marca Garnier la recomienda el shampoo y la mascarillas,4,2,1633890988,2021-10-10 13:36:28,belleza-y-cuidado,consulta
N,nevisramos,"pero es que eso no se usa todos los días
en las instrucciones dice una o dos veces por semana 😂😂😂",2,2,1633897957,2021-10-10 15:32:37,belleza-y-cuidado,frustracion
Kithy Mishell…🖤,kithymiiiiii,"Usar silicona no es realmente malo lo han dicho profesionales, además esa crema solo se echa de medio cabello a puntas. Llevo 2 años usándola",13,1,1633908801,2021-10-10 18:33:21,belleza-y-cuidado,testimonio
user65676434666666,user4822396992580,a mí me queda super suaveee y sin frizz,38,1,1633904023,2021-10-10 17:13:43,belleza-y-cuidado,satisfaccion
Emilis_eileen✨,emilis_eileen,"A mi me crece bárbaro y siempre está brillante y suave, la cuestión es que mis puntas siempre se ven bien maltratadas al punto de como si tuviera",1,2,1634708354,2021-10-20 00:39:14,belleza-y-cuidado,satisfaccion
Kasandra,dey.kassandra,"es lo peor que pude usar, al inicio si genial, lo he usado por mucho tiempo creo que un año o más, pero llegó el momento que se me empezó a caer el",14,1,1637891263,2021-11-25 20:47:43,belleza-y-cuidado,decepcion
Limapop,malorypomajulca,Uso nutrí ella y le hecho unas gotas de aceite de argan y coco y es TOP. Mucho mejor que otras mascarillas mucho más caras que otras. 😁,17,2,1633904774,2021-10-10 17:26:14,belleza-y-cuidado,satisfaccion
Sofia Medina,sofia.medina71,"desde bebé lo he usado y me sienta genial, tengo el pelo hasta después de las rodillas, esta largo, sano, fuerte abundante y brillante, depende de cada tipo de cabello sus resultados",1,0,1745119363,2025-04-19 22:22:43,belleza-y-cuidado,satisfaccion
Mamá Fuxioner,mamafuxionerperu,"esq la mascarilla no se usa a diario, el tratamiento es 1 vez x semana, lonq es diario es el shampoo y acondicionador",5,0,1732965012,2024-11-30 06:10:12,belleza-y-cuidado,testimonio
paullpaull_,paullpaull_,Nutribella es INCREIBLEEE,17,0,1711408651,2024-03-25 18:17:31,belleza-y-cuidado,satisfaccion
BRIT🎀,n.miaguix.24,usenlo porque mi cabello se mantenia muy enrredado y ahora es hermoso lo recomiendo muchooo,13,0,1730511629,2024-11-01 20:40:29,belleza-y-cuidado,satisfaccion
Caro  Cruz,carolinacruz437,solo habla de lo malo y nuca deja lo que ella usa por Dio😌,9,3,1633902693,2021-10-10 16:51:33,belleza-y-cuidado,decepcion
Lecksly,lecksly,Para el cabello crespo que recomiendas,1,3,1633892070,2021-10-10 13:54:30,belleza-y-cuidado,consulta
Dori😊,3c.mi,todo depende del cabello.,2,2,1633889199,2021-10-10 13:06:39,belleza-y-cuidado,queja
Carmen Cubides Navar,carmen09875,a mi me funciona super!!,76,3,1633904305,2021-10-10 17:18:25,belleza-y-cuidado,satisfaccion
Karolina Vinueza,dianakarolinavinueza,y yo pensé en comprar para ponerme en el cabello....🙄🙄🙄🤦🏻,3,2,1633888276,2021-10-10 12:51:16,belleza-y-cuidado,frustracion
Paola Aponte,paolaaponte31,"si es informativo no deberías d denigrar el producto... no todos los cuerpos funcionan igual, a mí me funciona d maravilla y eso q yo uso plancha diar",174,4,1633901875,2021-10-10 16:37:55,belleza-y-cuidado,frustracion
Emanuel -Alan ☄️,ofe956,Hola que tal los productos de kaba,1,2,1633890925,2021-10-10 13:35:25,belleza-y-cuidado,consulta
Yinna Vannessa,yinnavannessa,A mi para lo único para lo que me sirve es para bajar el frizz 👀,3,2,1633891373,2021-10-10 13:42:53,belleza-y-cuidado,decepcion
👸🏾🥥🤍,sofii0254,Yo uso nutribela y la verdad ami si me funciona 😌🤗 y puede pasar 3 dias o una semana porque me lavo el cabello todos los sabados y n se me ve feo...,2,1,1634146193,2021-10-13 12:29:53,belleza-y-cuidado,satisfaccion
ALI VEGA🌷,alipau04,"Por más video ""informativo"", veo muchos testimonios positivos, a mi me va de maravilla lo uso dos años 🥰",32,0,1634093589,2021-10-12 21:53:09,belleza-y-cuidado,satisfaccion
Natalia Astros,nataliaastros,"realmente este video es mentira, ya que yo tengo el cabello hasta decolorado y me crece y siempre está suave y brillante",50,2,1633902447,2021-10-10 16:47:27,belleza-y-cuidado,satisfaccion
beatrizarrita,beatrizarrita,Es súper buena alo mejor no te funciono a ti a mi en lo particular me encanta y la recomiendo 😌😌😌😌😌,120,1,1633907194,2021-10-10 18:06:34,belleza-y-cuidado,satisfaccion
nani,bubblesforhosu,"el problema no es usarlo, solo no hay que abusar de él, no hay que aplicarlo tan seguido como ellos dicen, una vez cada dos semanas está bien +",1,1,1635397102,2021-10-27 23:58:22,belleza-y-cuidado,queja
Bell Conde,bellconde,súper amooo cuando das está info estoy en proceso de recuperar mi cabello no uso tu método pero me ah ayudado muchísimo toda la info Dios te bendiga🥰,12,2,1633905783,2021-10-10 17:43:03,belleza-y-cuidado,satisfaccion
Mart Mor,martmoreno07,Muy buenas experiencias pero y yo?? Porque me estoy quedando calva 😭,1,0,1743995862,2025-04-06 22:17:42,belleza-y-cuidado,consulta
Danielita22,danielita22_,yo lo uso hace 2años y a mi no se me maltrato Haci mi pelo como tú dices,3,1,1633900324,2021-10-10 16:12:04,belleza-y-cuidado,testimonio
🐰🐽Yvonne🐽🐰,yvonnebom,"Jajaja hablas que lean y que solo informas , pero recomiendas productos que tambien contaminan 😬 osea",3,1,1633901735,2021-10-10 16:35:35,belleza-y-cuidado,consulta
🐰🐽Yvonne🐽🐰,yvonnebom,"Jajaja hablas que lean y que solo informas , pero recomiendas productos que tambien contaminan 😬 osea",3,1,1633901735,2021-10-10 16:35:35,belleza-y-cuidado,consulta
Mart Mor,martmoreno07,Muy buenas experiencias pero y yo?? Porque me estoy quedando calva 😭,1,0,1743995862,2025-04-06 22:17:42,belleza-y-cuidado,confusion
Danielita22,danielita22_,yo lo uso hace 2años y a mi no se me maltrato Haci mi pelo como tú dices,3,1,1633900324,2021-10-10 16:12:04,belleza-y-cuidado,testimonio
.,greisynazareth,recomiendas savital? tanto el shampoo como acondicionador?,0,1,1639414450,2021-12-13 11:54:10,belleza-y-cuidado,consulta
Jennifer Braghirolli,jen.braghirolli,Que shampoo del super puedo usar si tengo keratina?,1,1,1633892138,2021-10-10 13:55:38,belleza-y-cuidado,consulta
Lucy Garcia🖤,lucygarcia2118,Yo amo este producto ! La verdad me hace creer el cabello !! De echo me salió mi cabello de antes churon!!,61,0,1634184010,2021-10-13 23:00:10,belleza-y-cuidado,sorpresa
Dani Belu Belén Ramí,belu.u0,Todos los cabellos son distintos ...yo lo uso ya 2 años y buenisimo.. Lo amo ✨,1,0,1740071062,2025-02-20 12:04:22,belleza-y-cuidado,satisfaccion
Angie Gallego,lore.291,solo dicen lo malo y nunca lo bueno o un producto que si funcione,1,1,1633903556,2021-10-10 17:05:56,belleza-y-cuidado,satisfaccion
A💘,ana_marrrr1,"Hola podrías hacer un video de shampos de supermercado que si sean buenos,gracias 🥰",3,1,1634129700,2021-10-13 07:55:00,belleza-y-cuidado,consulta
MAJO,majose9,Cuándo puedes recomendar los acondicionadores que no le hacen daño a tu cabello?,3,1,1633920796,2021-10-10 21:53:16,belleza-y-cuidado,consulta
Tatiana Jeri Martiar,tatianapjm,"A mí si me funcionó, súper bien, hoy por hoy lo cambié a aceites naturales por la regla de no utilizar un producto químico por más de un mes 🥰",2,1,1633899507,2021-10-10 15:58:27,belleza-y-cuidado,testimonio
Dani✨,daniiiuska,"yo lo estuve usando un tiempo y el cabello se me resecó muchísimo, el primer día lo deja bellísimo es cierto, pero ya luego no y cada vez que +",1,1,1634065329,2021-10-12 14:02:09,belleza-y-cuidado,decepcion
Maira Alejandra,tramitesmigratoriosmp,a mí no me pasa eso,4,1,1633895716,2021-10-10 14:55:16,belleza-y-cuidado,sorpresa
Soy La Daniela,soyladanielaaa,La nutribela es lo mejor,13,0,1639415776,2021-12-13 12:16:16,belleza-y-cuidado,testimonio
Paula Santander,user11488138,seguro quiere vender algún producto de ella y esta en su derecho siempre y cuando no hable mal de la competencia eso habla mucho de una persona,2,1,1633902014,2021-10-10 16:40:14,belleza-y-cuidado,satisfaccion
user254744,daniella4900,Ami si me paso se me caía a montones y todo mi cabello reventado!! Ahora uso garnier 😌,1,1,1633899978,2021-10-10 16:06:18,belleza-y-cuidado,sorpresa
hdkfifbrbnb,judbflfbdjsa2,Llevo 4 años usando nutribela 🤦‍♀️,3,1,1633904973,2021-10-10 17:29:33,belleza-y-cuidado,testimonio
Nay-565,natthy689l,es que la nutribella se usa una vez por semana no todos los dias,18,0,1700674700,2023-11-22 12:38:20,belleza-y-cuidado,testimonio
❤❤ 🥰 ❤Yolanda ❤☺️ ❤❤❤,yolandawtwe5fgwwww,yo usaba la Nutribela se aplica en el cabello seco pero no,1,0,1734210977,2024-12-14 16:16:17,belleza-y-cuidado,testimonio
Dime Karen,karenrodriguez234,Creo que es lo mejor del mundo 😬 a mi me funciona muchísimo !!!!!,9,0,1639454938,2021-12-13 23:08:58,belleza-y-cuidado,testimonio
Gabiita Martínez,gabiitamartinez1,A mi casi me deja calva 😭😭😭 se me cayó full el cabello,1,2,1726205292,2024-09-13 00:28:12,belleza-y-cuidado,frustracion
✨🩷kim✨🩷,kimberlymera24,soy maestra de la rama de la belleza y tu cabello no está muy sano tienes frizz y la nutribela es muy buena ahí personas que no les asienta pero esx +,4,0,1634250975,2021-10-14 17:36:15,belleza-y-cuidado,satisfaccion
Andrea Ospina Martin,andreaospinamarti,"Lo lamento por ti , pero para mi cabello ha sido una bendición NUTRIBELA , la mascarilla es lo máximo lo llevo usando más de 5 años , ahora estoy usando el shampoo y ha sido lo máximo",0,0,1746111947,2025-05-01 10:05:47,belleza-y-cuidado,frustracion
kataleya,kataleya1265,y porque hace el vídeo sin dar la cara?,0,0,1746286116,2025-05-03 10:28:36,belleza-y-cuidado,frustracion
Maite Sarahi Mondragon,maitesarahimondra,La verdad yo gasté bastante en productos y ninguno me funcionaba :( me dejaba feo el pelo y se me caía pero con este por emergencia lo compré y lo amo 💜 mi pelo ya de risa natural y se ve hermoso,2,0,1722632783,2024-08-02 16:06:23,belleza-y-cuidado,frustracion
BLANQUITA,shirley.gallegos,yo los uso hace 3 meses y realmente lo amoooo me mejoro muchísimo el cabello,1,0,1728698818,2024-10-11 21:06:58,belleza-y-cuidado,satisfaccion
AYLEN,aylenkaren5,A mí me encanta ❤️❤️,1,0,1717090411,2024-05-30 12:33:31,belleza-y-cuidado,satisfaccion
summer,vera30_19,"Después que me decoloré el cabello me quedó horrible, estaba chicloso no podía ni peinarme, hasta que usé pantene mascarilla intensiva🥰🥰",3,0,1635128178,2021-10-24 21:16:18,belleza-y-cuidado,testimonio
Melina Salinas 👩‍💻,_melinasalinas_,"yo lo uso y no me paso eso, todo lo contrario! mi cabello mejoro mucho",2,0,1716207807,2024-05-20 07:23:27,belleza-y-cuidado,satisfaccion
Feli,felifer_,amiga gracias por informarnos🥰 yo lo llevo usando 1 año y medio y más el tinte que uso debería tenerlo dañado pero creeme que no 😳,4,0,1633929206,2021-10-11 00:13:26,belleza-y-cuidado,satisfaccion
Mapu ᥫ᭡.,mapu.ff,"Yo tenia el cabello muy dañado y ningún tratamiento me dejaba el cabello lindo, así que comencé a usar el termoprotección y a veces el repolizador y me va muy bien! lo recomiendo ☺️",1,0,1722809739,2024-08-04 17:15:39,belleza-y-cuidado,satisfaccion
joalew,joalew,siempre existe persona envidiosas son excelentes productos,1,0,1724531485,2024-08-24 15:31:25,belleza-y-cuidado,testimonio
🫶🏻,florecita_1303,Entonces cuál recomiendas?,1,0,1717464426,2024-06-03 20:27:06,belleza-y-cuidado,consulta
Paomar,paomar_93,Entonces cual recomiendas???,3,0,1635823901,2021-11-01 22:31:41,belleza-y-cuidado,consulta
Michelle,michelle._.ag,Puedes recomendar productos para cabellos con mucho frizz fáciles de conseguir que no produzcan caspa porfa 👀,3,0,1633917335,2021-10-10 20:55:35,belleza-y-cuidado,testimonio
Kryz MM💋,kryzmaldonado24,🙄Recuerden nadie tiene el mismo cuero cabelludo... a mi me funciona bien 😊😊😊,4,0,1635104181,2021-10-24 14:36:21,belleza-y-cuidado,queja
Victoria Trejo,victoriat.4,el tratamiento es lo mejor.. me funciona.. y me deja el cabello increíble..,4,0,1635128174,2021-10-24 21:16:14,belleza-y-cuidado,testimonio
betylas,betylas,"buscaba info sobre el producto basada en experiencias, me pasó exactamente eso! al principio excelente , hasta que se me comenzó a caer el cabello🥺",2,0,1661146608,2022-08-22 00:36:48,belleza-y-cuidado,satisfaccion
GaByta Galarza,gabytagalarza2,por favor recomiendame una mascarilla para cabello seco y maltratado pero esta natural nada de tintes,1,0,1641597241,2022-01-07 18:14:01,belleza-y-cuidado,consulta
Rosa Isabell Contreras,rosairoyero2,"la verdad yo tengo desde que salió el tratamiento usándolo, y me lo ha dejado súper, ahora compré los shampoo y me ha ido como nunca",1,0,1721827939,2024-07-24 08:32:19,belleza-y-cuidado,testimonio
POLY CF,polycf1,funciona de maravilla...a mi no me crecía el cabello usándolo me empezó a crecer..lo recomiendo muy bueno,1,0,1706276407,2024-01-26 08:40:07,belleza-y-cuidado,satisfaccion
peerre,peerre32,yo lo uso todos los días como acondicionador y no me ha pasado nada de lo q dices,1,0,1704506398,2024-01-05 20:59:58,belleza-y-cuidado,testimonio
sofia__,sofia_c.96,"Bueno peeero, necesitamos soluciones no problemas 😖",1,0,1700562404,2023-11-21 05:26:44,belleza-y-cuidado,frustracion
alegarcia2043,alegarcia2043,comencé a usar la morada hace menos de un mes y traigo el cabello como chicle 😓 no pensé que fuera esa o que me baño 2 veces al día yo la compre por qué dicen que es buena,0,0,1746047957,2025-04-30 16:19:17,belleza-y-cuidado,decepcion
Claus Alonso,clausalonso0,A mi hija se le puso bonito y le cresio el cabello ahora lo usaré yo,1,0,1696472394,2023-10-04 21:19:54,belleza-y-cuidado,satisfaccion
Ariadna Guissell,00202s,lo use y me dejo el pelo horrible 😟,1,0,1696442395,2023-10-04 12:59:55,belleza-y-cuidado,frustracion
Lupyr 🇨🇴,lubyrnt,Amiga a mi me funcionó demasiado .,0,0,1745991093,2025-04-30 00:31:33,belleza-y-cuidado,satisfaccion
Katerin Avila Capcha,katerinavilacapch,nutriela es la mejor ami arregló el cabello que me habían quemado x la permanente así que estas hablando tinterias😏,2,0,1635528092,2021-10-29 12:21:32,belleza-y-cuidado,satisfaccion
Karolyn Rujano,karolrams,que dices del DOVE ?,2,0,1634251918,2021-10-14 17:51:58,belleza-y-cuidado,testimonio
Yasmin Pareja,yasminpareja7,todos no tenemos el mismo cuero cabelludo. yo lo he usado siempre y nunca se me ha dañado el cabello. antes lo recomiendo.,2,0,1634176298,2021-10-13 20:51:38,belleza-y-cuidado,testimonio
Lujim,jossdav81,yo lo uso y es espectacular,2,0,1634073563,2021-10-12 16:19:23,belleza-y-cuidado,testimonio
yus16,yusmurga,Yo uso nutribela bioqueratina y me encanta. Lo recomiendo 😅,2,0,1634009963,2021-10-11 22:39:23,belleza-y-cuidado,testimonio
Manuela❤️‍🔥,manuelalondono1,A mi me ha servido muchísimo,2,0,1633965300,2021-10-11 10:15:00,belleza-y-cuidado,satisfaccion
Valentina R. Trujillo,trujilloval1,"Por cuales productos o preparaciones podemos sustituirlo, que no sea tan caro 🥺",2,0,1633955374,2021-10-11 07:29:34,belleza-y-cuidado,testimonio
luna 27,moon.6.7,"Confirmo🥺🥺 me dañó el cabello, claro que a todas no les funciona igual",2,0,1633921506,2021-10-10 22:05:06,belleza-y-cuidado,frustracion
Yazmin Alicia Pirela Urdaneta,yazpirela,a la final !! habrá alguien lo suficientemente íntegra como para decir la verdad antes que mentir por publicidad??? siempre he tenido curiosidad!!!,0,0,1745806269,2025-04-27 21:11:09,belleza-y-cuidado,satisfaccion
Hennis Augusto Sánchez Vélez,hennisaugusto,"mi hija, hermanas, primas y amigas me han hablado maravillas y lo han usado por lago tiempo, para mi hay interés particular por desacreditar la marca",1,0,1663781637,2022-09-21 12:33:57,belleza-y-cuidado,satisfaccion
Karlacardons,karlacardons,Es el mejor de muchos que he usado y mi cabello crece más rapido,1,0,1661987920,2022-08-31 18:18:40,belleza-y-cuidado,satisfaccion
Greymath J,greymathjg15,Yo era de la que defendía forever a nutribella 😅 vi este video la dejé de usar un tiempo y mi cabello se puso horriblemente,1,0,1661972117,2022-08-31 13:55:17,belleza-y-cuidado,testimonio
Camila Anchelía 🧚🏻‍♂️🫧,melacheckin,A mi me cambio la vida tengo el cabello hermoso,1,0,1658810270,2022-07-25 23:37:50,belleza-y-cuidado,satisfaccion
Camila Anchelía 🧚🏻‍♂️🫧,melacheckin,A mi me cambio la vida tengo el cabello hermoso,1,0,1658810270,2022-07-25 23:37:50,belleza-y-cuidado,satisfaccion
Luna♡,falc27,a mi también me funcionó desde la 2da semana usándola mi cabello mejoró bastante 🥺,1,0,1657072415,2022-07-05 20:53:35,belleza-y-cuidado,satisfaccion
Antonella,anto.jimenez04,todos dicen que la primera semana te va bien y en la segunda muy mal y hacia tirar el cabello y la verdad no a mi me va muy bien 👍,0,0,1745602023,2025-04-25 12:27:03,belleza-y-cuidado,decepcion
tefiflowers,tefiflowers18,"A TI NO PERO A MI SI ME AYUDO Y MUCHO A CRECER XK NO ME CRECIA NADAA, ASI QUE NO GENERALIZES QUE NO TE HAYA FUNCIONADO A TI NO SIGNIFICA Q,ALOSDEMANO",1,0,1645790396,2022-02-25 06:59:56,belleza-y-cuidado,queja
Manu_23,manuuuw23,"No sé aplica seguido, yo lo uso 1 vez al mes cuando empezó a sentir mi cabello en pausa, a demás al tener cuero graso, si se usa seguid se pone peor.",0,0,1745507146,2025-04-24 10:05:46,belleza-y-cuidado,testimonio
Nohemy,nohemysalcedo9130,creo que así como a unas puede hacerles bien a otras no ya que los cabellos son totalmente diferentes 🤷🏽‍♀..,1,0,1641653475,2022-01-08 09:51:15,belleza-y-cuidado,testimonio
Angy robles,roblesmariela2,Puedes. Recomendar un producto para. Reparar el cabellp por favor,1,0,1641555864,2022-01-07 06:44:24,belleza-y-cuidado,consulta
Mari Ribadeneira,marigrp18,yo la uso desde hace como 6 meses y me ha encantado el resultado 🤔 creo q depende del cabello y de cada organismo 😅,1,0,1639022896,2021-12-08 23:08:16,belleza-y-cuidado,testimonio
Michu Vásconez,michivasconez,he usado cualquier cantidad de productos reconocidos y caros pero el nutribela es increíble,1,0,1637820771,2021-11-25 01:12:51,belleza-y-cuidado,testimonio
Paulicubo,paulicubo,Quiero compartir tu video en una pregunta de tiktok como hago,1,0,1637550360,2021-11-21 22:06:00,belleza-y-cuidado,consulta
𝑴𝒊𝒍𝒂𝒈𝒓𝒐𝒔 𝑷𝒂𝒍𝒍𝒊𝒏,milagrospallin,"A mi me funciona superr bienn, es más desde que lo uso mi cabello a mejorado bastante 🥰",1,0,1635663847,2021-10-31 02:04:07,belleza-y-cuidado,satisfaccion
laabuelita-un,laabuelitaun,a mi me va super bien y no se quiebra...es un producto increible. no se xq le haces mala fama..te sacaron de la empresa?,1,0,1635647720,2021-10-30 21:35:20,belleza-y-cuidado,consulta
kariotero,kariotero,"los componente que colocaste son los mismos, o eso es lo que arroja Google pero no encuentro nada de malo en ello 🤷🏻‍♀️",1,0,1635645610,2021-10-30 21:00:10,belleza-y-cuidado,testimonio
chiviecash,chiviecash,Nutribela es lo mejor que hay! El cambio a un cabello nutritivo es excelente!,1,0,1635482802,2021-10-28 23:46:42,belleza-y-cuidado,testimonio
user608173,stefania2910,"😳😳😳😳😳😳
Que puedo usar ?",1,0,1635266934,2021-10-26 11:48:54,belleza-y-cuidado,testimonio
user5641436083282,rosmery20205,entonces que me recomiendas,1,0,1635137836,2021-10-24 23:57:16,belleza-y-cuidado,consulta
Vilm@ V Mendoza,vivime17,yo uso la marroncita pero la anterior es mejor q la nueva pero igual a mi ningún tratamiento me arregla el cabello 😂😂😂😂,1,0,1635136213,2021-10-24 23:30:13,belleza-y-cuidado,testimonio
Anaid hm🦋💜,anaid_156,yo voy usando 4 meses y mejoro mi cabello ya que yo la tengo tinturado amo NUTRIBELA ❤🤗,1,0,1635130280,2021-10-24 21:51:20,belleza-y-cuidado,satisfaccion
melissaquijanof,melissaquijanof,Con recomendarías tú sustituirlo ???,1,0,1635119648,2021-10-24 18:54:08,belleza-y-cuidado,consulta
Lina Marcela Rojas Granados,linamarcelarojasg7,"yo lo amaba y lo usé por varios años y comenzó a pasar lo q ella menciona, lo deje de usar y se ve como es realmente el cabello🥺☹️",1,0,1634444281,2021-10-16 23:18:01,belleza-y-cuidado,frustracion
Laura,lsg98_,"Niñas solo deben aprende a conocer su cabello, cada producto funciona diferente, en mi caso me ha funcionado súper bien.",1,0,1634241346,2021-10-14 14:55:46,belleza-y-cuidado,queja
.,liz_hb19,entonces cual mascarilla me recomiendan para mi cabello 😳,1,0,1634170246,2021-10-13 19:10:46,belleza-y-cuidado,consulta
